Latejami
N,V,A,D,C
0-n,P-s,P-d,P/F-s,P/F-d,AP-s,AP-d,AP/F-s,AP/F-d,A/P-s,A/P-d,A/P/F-s,A/P/F-d,F-s,F-d,F/P-s,F/P-d
to,A,AP/F-s,-,,ROOT,True generic root,1
femi,N,P-s,"season, time of year",to,DERIVATE,,8
cifemi,N,P-s,"past, yesteryear, past times, days gone by, bygone times",femi,MODIFIED,,118
xacifemi,N,P-s,anniversary,cifemi,MODIFIED,,1566;ERGANE:7169
kwecifemi,N,P-s,birthday,cifemi,MODIFIED,,1746;ERGANE:29109
cayfemi,N,P-s,winter,femi,MODIFIED,,289;ERGANE:46790
dinfemi,N,P-s,"festival, gala, fete",femi,MODIFIED,,308
kifemi,N,P-s,"day(time), daylight hours",femi,MODIFIED,,191
cikifemi,N,P-s,morning,kifemi,MODIFIED,,1447;ERGANE:27064
jekifemi,N,P-s,"afternoon, midday",kifemi,MODIFIED,,1500;ERGANE:34499
zoyfemi,N,P-s,weekend,femi,MODIFIED,,393
zifemi,N,P-s,curfew,femi,MODIFIED,,243
kwefemi,N,P-s,life/lifetime,femi,MODIFIED,,360
zufemi,N,P-s,"jiffy, trice, blink of an eye",femi,MODIFIED,,252
canfemi,N,P-s,"while, moderate period of time",femi,MODIFIED,,285
dayfemi,N,P-s,equinox,femi,MODIFIED,,304
judayfemi,N,P-s,solstice,dayfemi,MODIFIED,,1719
kawfemi,N,P-s,"cycle, repeated period of time",femi,MODIFIED,,346;ERGANE:6902
fefemi,N,P-s,summer,femi,MODIFIED,,137;ERGANE:41007
kefemi,N,P-s,"long time, long while",femi,MODIFIED,,184
tofemi,N,P-s,"date, day",femi,MODIFIED,,217;ERGANE:7168
koyfemi,N,P-s,"fall, autumn",femi,MODIFIED,,353;ERGANE:4768
fofemi,N,P-s,"short time, little while",femi,MODIFIED,,148
dusi,N,P-s,"time, clock time",femi,DERIVATE,,40
jekidusi,N,P-s,"sunset, sundown, nightfall",dusi,MODIFIED,,1499
byeduso,A,P-s,"momentary, instant",dusi,CHANGED,,1064
byedusa,V,P-s,"be momentary, instant",byeduso,CHANGED,,2195
jujudusi,N,P-s,midnight,dusi,MODIFIED,,1514;ERGANE:30336
byedusi,N,P-s,"moment, instant, time, point in time",dusi,MODIFIED,,1063
cikidusi,N,P-s,"sunrise, dawn, daybreak, sunup",dusi,MODIFIED,,1446;ERGANE:42477
baxedusi,N,P-s,noon,dusi,MODIFIED,,1401
dwefemi,N,P-s,"turn, time up",femi,MODIFIED,,318;ERGANE:45326
bifemi,N,P-s,"eternity, perpetuity, forever",femi,MODIFIED,,94
butoyfemi,N,P-s,"tenure, term",femi,MODIFIED,,443
byufemi,N,P-s,pause,femi,MODIFIED,,282
byufemiga,N,P-s,"interrupt, pause, suspend",byufemi,CHANGED,,1626
bufemi,N,P-s,"weekday, workday",femi,MODIFIED,,107
jubufemi,N,P-s,holiday,bufemi,MODIFIED,,1512
bafemi,N,P-s,childhood,femi,MODIFIED,,83;ERGANE:17214
jujufemi,N,P-s,century,femi,MODIFIED,,420;ERGANE:6740
dawfemi,N,P-s,"present, current time",femi,MODIFIED,,302
jefemi,N,P-s,"future, hereafter, coming times, time to come",femi,MODIFIED,,160
byefemi,N,P-s,"time (period), duration, spell, period (of time)",femi,MODIFIED,,275
byefemono,A,P-s,"temporal, durative/durational, having to do with the passage of time",byefemi,CHANGED,,1622
